Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_4728,,Urate oxidase N-terminal,17,17,1.0,1,5532,,,,1230,1323,1307.8235294117646,AEKEPN_08850,HMDFDK_22675,DGIGOC_09125,OELDID_22405,NDFCFG_20680,NFOGGK_09950,DILMCD_26655,CJMOAC_09600,GGGPIC_19475,KLDNLM_10515,KAGCPN_21665,NDMAAC_21670,CELEIN_09045,FNPKGJ_21930,OFJEOJ_08985,OGPOLJ_21800,MOKLEP_15640
group_4725,,anti-sigma factor,17,17,1.0,1,5529,,,,738,756,751.5,AEKEPN_21170,HMDFDK_06480,DGIGOC_07615,OELDID_23915,NDFCFG_10170,NFOGGK_11460,DILMCD_14555,CJMOAC_11760,GGGPIC_17500,KLDNLM_19910,KAGCPN_11010,NDMAAC_11005,CELEIN_18560,FNPKGJ_18455,OFJEOJ_11495,OGPOLJ_19420,16_refound_69109
group_4722,,bifunctional glyoxylate/hydroxypyruvate reductase B;Bifunctional glyoxylate/hydroxypyruvate reductase B,17,17,1.0,1,5526,,,,972,1164,1001.0625,AEKEPN_04655,HMDFDK_10920,DGIGOC_13085,OELDID_18445,NDFCFG_25425,NFOGGK_05990,DILMCD_23250,CJMOAC_19635,GGGPIC_05755,KLDNLM_06365,KAGCPN_24245,NDMAAC_24255,CELEIN_04930,FNPKGJ_05245,OFJEOJ_25375,OGPOLJ_04915,16_refound_69108
group_4719,,BolA family transcriptional regulator,17,17,1.0,1,5523,,,,288,300,298.2352941176471,AEKEPN_23540,HMDFDK_22910,DGIGOC_26620,OELDID_04910,NDFCFG_22650,NFOGGK_21115,DILMCD_12240,CJMOAC_09825,GGGPIC_19240,KLDNLM_21510,KAGCPN_09250,NDMAAC_09245,CELEIN_20980,FNPKGJ_21685,OFJEOJ_09190,OGPOLJ_21555,MOKLEP_03945
group_4716,,alginate O-acetyltransferase,17,17,1.0,1,5520,,,,1050,1050,1050.0,0_refound_3011,1_refound_7098,2_refound_11402,3_refound_15478,4_refound_19459,5_refound_23751,6_refound_27918,7_refound_31913,8_refound_35990,9_refound_40162,10_refound_44323,11_refound_48564,12_refound_52895,13_refound_56995,14_refound_61093,15_refound_65313,MOKLEP_12595
group_4712,,hypothetical protein,17,17,1.0,1,5515,,,,1050,1050,1050.0,0_refound_1923,1_refound_6066,2_refound_10265,3_refound_14341,4_refound_18442,5_refound_22623,6_refound_26726,7_refound_30766,8_refound_34923,KLDNLM_12910,10_refound_43447,11_refound_47678,12_refound_51845,13_refound_56078,14_refound_60223,15_refound_64393,16_refound_67883
group_4710,,DUF1289 domain-containing protein,17,17,1.0,1,5512,,,,192,216,212.8235294117647,AEKEPN_05370,HMDFDK_10550,DGIGOC_12710,OELDID_18820,NDFCFG_24800,NFOGGK_06365,DILMCD_23650,CJMOAC_19210,GGGPIC_22775,KLDNLM_06730,KAGCPN_23535,NDMAAC_23540,CELEIN_05365,FNPKGJ_25335,OFJEOJ_24970,OGPOLJ_25080,MOKLEP_15340
mutT,mutT;,CoA pyrophosphatase,17,17,1.0,1,5510,,,,603,618,603.8823529411765,AEKEPN_05360,HMDFDK_10560,DGIGOC_12720,OELDID_18810,NDFCFG_24810,NFOGGK_06355,DILMCD_23640,CJMOAC_19220,GGGPIC_22785,KLDNLM_06720,KAGCPN_23545,NDMAAC_23550,CELEIN_05355,FNPKGJ_25345,OFJEOJ_24980,OGPOLJ_25090,MOKLEP_15330
group_4707,,transcriptional regulator,17,17,1.0,1,5508,,,,732,753,749.1818181818181,AEKEPN_27930,HMDFDK_18720,DGIGOC_21725,OELDID_09805,NDFCFG_03850,NFOGGK_26000,DILMCD_07250,7_refound_32695,8_refound_36859,KLDNLM_26365,KAGCPN_26050,NDMAAC_26055,CELEIN_26055,13_refound_57774,14_refound_61890,15_refound_66094,16_refound_69106
group_4705,,hypothetical protein;DUF465 domain-containing protein,17,17,1.0,1,5505,,,,228,243,237.375,AEKEPN_17570,HMDFDK_25660,DGIGOC_05555,OELDID_25975,NDFCFG_17120,NFOGGK_13515,DILMCD_16505,CJMOAC_31120,GGGPIC_12645,KLDNLM_18415,KAGCPN_11610,NDMAAC_11605,CELEIN_16540,FNPKGJ_16960,OFJEOJ_12205,OGPOLJ_17910,16_refound_69105
opgD~~~mdoD,opgD;mdoD,Glucans biosynthesis protein D;glucan biosynthesis protein D,17,17,1.0,1,5499,,,,1590,1635,1632.1875,AEKEPN_05625,HMDFDK_10430,DGIGOC_12585,OELDID_18945,NDFCFG_24565,NFOGGK_06490,DILMCD_23775,CJMOAC_19035,GGGPIC_07005,KLDNLM_24385,KAGCPN_06320,NDMAAC_06310,CELEIN_05490,FNPKGJ_06425,OFJEOJ_24840,OGPOLJ_06085,16_refound_69104
group_4698,,GCN5-like N-acetyltransferase;GNAT family N-acetyltransferase,17,17,1.0,1,5497,,,,513,546,531.7058823529412,AEKEPN_02945,HMDFDK_12670,DGIGOC_14950,OELDID_16580,NDFCFG_26970,NFOGGK_04125,DILMCD_00540,CJMOAC_23600,GGGPIC_03785,KLDNLM_04655,KAGCPN_04260,NDMAAC_04255,CELEIN_03030,FNPKGJ_03205,OFJEOJ_27200,OGPOLJ_02965,MOKLEP_07970
group_4691,,PepSY domain-containing protein;peptidase,17,17,1.0,1,5490,,,,1191,1224,1217.8125,AEKEPN_22690,HMDFDK_23650,DGIGOC_27400,OELDID_04130,NDFCFG_08165,NFOGGK_20335,DILMCD_13005,CJMOAC_10655,GGGPIC_10145,KLDNLM_20630,KAGCPN_20260,NDMAAC_20270,CELEIN_20190,FNPKGJ_10240,OFJEOJ_09965,OGPOLJ_10270,16_refound_69103
group_4688,,Transition state regulatory protein AbrB,17,17,1.0,1,5487,,,,1053,1053,1053.0,AEKEPN_06990,HMDFDK_09225,DGIGOC_25505,OELDID_06025,NDFCFG_07550,NFOGGK_22220,DILMCD_25355,CJMOAC_17340,8_refound_33145,KLDNLM_08355,KAGCPN_08160,NDMAAC_08155,CELEIN_07115,FNPKGJ_12565,OFJEOJ_23280,OGPOLJ_12995,16_refound_66577
ssb,ssb,single-stranded DNA-binding protein,17,17,1.0,1,5485,,,,504,531,522.1764705882352,AEKEPN_28170,HMDFDK_18510,DGIGOC_21440,OELDID_10090,NDFCFG_03620,NFOGGK_26285,DILMCD_06990,CJMOAC_04235,GGGPIC_25065,KLDNLM_26685,KAGCPN_26495,NDMAAC_26495,CELEIN_26320,FNPKGJ_27795,OFJEOJ_03565,OGPOLJ_27555,MOKLEP_13390
group_4684,,YkuD domain-containing protein,17,17,1.0,1,5481,,,,504,516,508.94117647058823,AEKEPN_05350,HMDFDK_10570,DGIGOC_12730,OELDID_18800,NDFCFG_24820,NFOGGK_06345,DILMCD_23630,CJMOAC_19230,GGGPIC_22795,KLDNLM_06710,KAGCPN_23555,NDMAAC_23560,CELEIN_05345,FNPKGJ_25355,OFJEOJ_24990,OGPOLJ_25100,MOKLEP_15325
group_4683,,MFS transporter,17,17,1.0,1,5480,,,,1251,1326,1257.75,AEKEPN_27415,HMDFDK_19145,DGIGOC_22205,OELDID_09325,NDFCFG_04335,NFOGGK_25520,DILMCD_07765,CJMOAC_05085,GGGPIC_24205,KLDNLM_25910,KAGCPN_25575,NDMAAC_25585,CELEIN_25500,FNPKGJ_27040,OFJEOJ_04410,OGPOLJ_26795,16_refound_69102
group_4680,,hypothetical protein,17,17,1.0,1,5477,,,,366,381,377.25,0_refound_3743,1_refound_7957,2_refound_12125,3_refound_16198,4_refound_20321,5_refound_24468,DILMCD_19695,7_refound_32692,8_refound_36855,9_refound_40972,10_refound_45165,11_refound_49405,CELEIN_13230,FNPKGJ_30940,14_refound_61887,OGPOLJ_30680,16_refound_69100
group_4679,,hypothetical protein;dihydroorotase,17,17,1.0,1,5476,,,,540,1338,1276.6153846153845,AEKEPN_31270,HMDFDK_15725,DGIGOC_18270,OELDID_13260,4_refound_20320,NFOGGK_00805,DILMCD_03880,CJMOAC_00965,GGGPIC_00700,KLDNLM_01470,10_refound_45164,11_refound_49404,CELEIN_29450,FNPKGJ_30845,OFJEOJ_00175,OGPOLJ_30585,16_refound_69099
group_4677,,oxidoreductase,17,17,1.0,1,5474,,,,1053,1053,1053.0,AEKEPN_16785,1_refound_4361,2_refound_8591,3_refound_12658,NDFCFG_15880,5_refound_20938,6_refound_25013,7_refound_29248,8_refound_33350,9_refound_37511,10_refound_41636,11_refound_45865,12_refound_50045,13_refound_54279,14_refound_58394,15_refound_62589,16_refound_66760
yrfG,yrfG,GMP/IMP nucleotidase,17,17,1.0,1,5471,,,,663,681,664.0588235294117,AEKEPN_01185,HMDFDK_14170,DGIGOC_16615,OELDID_14915,NDFCFG_28535,NFOGGK_02460,DILMCD_02195,CJMOAC_21845,GGGPIC_02335,KLDNLM_03030,KAGCPN_02560,NDMAAC_02555,CELEIN_01360,FNPKGJ_01445,OFJEOJ_28720,OGPOLJ_01435,MOKLEP_09095
group_4674,,site-specific integrase;Site-specific integrase,17,17,1.0,1,5470,,,,936,957,951.0,AEKEPN_17095,HMDFDK_02130,DGIGOC_03415,OELDID_28115,NDFCFG_16125,NFOGGK_15645,DILMCD_17075,CJMOAC_25500,GGGPIC_13830,KLDNLM_16270,10_refound_45162,11_refound_49402,CELEIN_16005,FNPKGJ_14060,OFJEOJ_13370,OGPOLJ_14930,16_refound_69097
group_4672,araJ,alpha-ketoglutarate permease,17,17,1.0,1,5468,,,,1296,1323,1299.375,AEKEPN_06600,HMDFDK_09500,DGIGOC_11295,OELDID_20235,NDFCFG_07220,NFOGGK_07780,DILMCD_25000,CJMOAC_17910,GGGPIC_07760,KLDNLM_08015,KAGCPN_07840,NDMAAC_07835,CELEIN_06730,FNPKGJ_07215,OFJEOJ_23715,OGPOLJ_06875,16_refound_69096
group_4665,,Penicillin G acylase;penicillin acylase family protein,17,17,1.0,1,5461,,,,2355,2421,2408.625,AEKEPN_30145,HMDFDK_16780,DGIGOC_19655,OELDID_11875,NDFCFG_01875,NFOGGK_28070,DILMCD_05230,CJMOAC_02335,GGGPIC_26850,KLDNLM_28430,KAGCPN_28335,NDMAAC_28335,CELEIN_28105,FNPKGJ_29550,OFJEOJ_01475,OGPOLJ_29305,16_refound_69095
group_4663,,hypothetical protein,17,17,1.0,1,5459,,,,1056,1056,1056.0,0_refound_460,1_refound_4659,DGIGOC_03825,OELDID_27705,4_refound_17326,NFOGGK_15235,6_refound_25563,CJMOAC_04240,8_refound_33959,KLDNLM_16890,KAGCPN_13195,NDMAAC_13190,12_refound_50585,13_refound_54860,14_refound_58921,15_refound_63167,16_refound_67219
group_4662,,alkene reductase,17,17,1.0,1,5458,,,,1056,1056,1056.0,AEKEPN_06650,HMDFDK_09445,DGIGOC_11220,OELDID_20310,NDFCFG_07265,NFOGGK_07855,DILMCD_25050,CJMOAC_17845,GGGPIC_07815,KLDNLM_08080,KAGCPN_07895,NDMAAC_07890,CELEIN_06780,FNPKGJ_07335,OFJEOJ_23640,OGPOLJ_06970,MOKLEP_17910
group_4660,,N-acetyltransferase domain-containing protein;GNAT family N-acetyltransferase,17,17,1.0,1,5456,,,,375,477,440.0,AEKEPN_17275,HMDFDK_04400,DGIGOC_05210,OELDID_26320,4_refound_20316,NFOGGK_13860,DILMCD_16840,CJMOAC_24560,GGGPIC_10810,KLDNLM_18115,KAGCPN_11875,NDMAAC_11870,CELEIN_16155,FNPKGJ_10945,OFJEOJ_12605,OGPOLJ_10980,16_refound_69093
uvrC,uvrC,excinuclease ABC subunit UvrC,17,17,1.0,1,5454,,,,1758,1824,1820.1176470588234,AEKEPN_17265,HMDFDK_04390,DGIGOC_05200,OELDID_26330,NDFCFG_16875,NFOGGK_13870,DILMCD_16850,CJMOAC_24580,GGGPIC_10820,KLDNLM_18105,KAGCPN_11885,NDMAAC_11880,CELEIN_16145,FNPKGJ_10965,OFJEOJ_12620,OGPOLJ_11000,MOKLEP_01840
group_4657,zapE,cell division protein ZapE,17,17,1.0,1,5452,,,,1125,1149,1131.0,AEKEPN_16780,HMDFDK_02760,DGIGOC_03380,OELDID_28150,NDFCFG_15875,NFOGGK_15680,DILMCD_18745,CJMOAC_31510,GGGPIC_15425,KLDNLM_14830,KAGCPN_16185,NDMAAC_16180,CELEIN_14070,FNPKGJ_12980,OFJEOJ_15820,OGPOLJ_13410,16_refound_69091
cobT,cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,17,17,1.0,1,5447,,,,1056,1056,1056.0,AEKEPN_08580,HMDFDK_22410,DGIGOC_09420,OELDID_22110,NDFCFG_20935,NFOGGK_09655,DILMCD_26370,CJMOAC_09325,GGGPIC_20065,KLDNLM_10130,KAGCPN_21995,NDMAAC_22000,CELEIN_08760,FNPKGJ_22530,OFJEOJ_08715,OGPOLJ_22400,MOKLEP_16060
group_4648,,RNA polymerase subunit sigma,17,17,1.0,1,5442,,,,888,966,961.4117647058823,AEKEPN_07055,HMDFDK_22155,DGIGOC_25570,OELDID_05960,NDFCFG_07610,NFOGGK_22155,DILMCD_25420,CJMOAC_17270,GGGPIC_08155,KLDNLM_08425,KAGCPN_08225,NDMAAC_08220,CELEIN_07180,FNPKGJ_07695,OFJEOJ_23210,OGPOLJ_07370,MOKLEP_15530
group_4647,,dienelactone hydrolase,17,17,1.0,1,5441,,,,789,807,804.2307692307693,AEKEPN_24305,1_refound_7950,DGIGOC_10665,OELDID_20865,NDFCFG_23385,NFOGGK_08410,DILMCD_11445,CJMOAC_09085,8_refound_36846,KLDNLM_22450,KAGCPN_22205,NDMAAC_22210,CELEIN_21760,13_refound_57758,OFJEOJ_08495,15_refound_66081,MOKLEP_05785
group_4646,,(2Fe-2S)-binding protein,17,17,1.0,1,5440,,,,219,234,219.9375,AEKEPN_25700,HMDFDK_21080,DGIGOC_24320,OELDID_07210,NDFCFG_05885,NFOGGK_23410,DILMCD_09855,CJMOAC_07545,GGGPIC_06645,KLDNLM_23855,KAGCPN_22810,NDMAAC_22815,CELEIN_23245,FNPKGJ_06155,14_refound_61879,OGPOLJ_05815,MOKLEP_04475
group_4645,,peptidase M48;Peptidase-M48 domain-containing protein,17,17,1.0,1,5439,,,,1011,1971,1779.0,0_refound_3738,1_refound_7952,DGIGOC_06715,OELDID_24815,4_refound_20313,NFOGGK_12360,6_refound_28655,CJMOAC_13475,8_refound_36848,9_refound_40965,10_refound_45154,11_refound_49394,12_refound_53634,13_refound_57760,OFJEOJ_18325,15_refound_66083,16_refound_69089
group_4637,,helix-turn-helix-type transcriptional regulator;HTH merR-type domain-containing protein;MerR family transcriptional regulator;Helix-turn-helix-type transcriptional regulator,17,17,1.0,1,5431,,,,852,1011,972.5294117647059,AEKEPN_04510,HMDFDK_11120,DGIGOC_13300,OELDID_18230,NDFCFG_25555,NFOGGK_05775,DILMCD_23025,CJMOAC_19890,GGGPIC_23280,KLDNLM_06225,KAGCPN_24400,NDMAAC_24410,CELEIN_04690,FNPKGJ_26065,OFJEOJ_25570,OGPOLJ_25770,MOKLEP_00775
group_4636,,Beta-barrel assembly-enhancing protease,17,17,1.0,1,5430,,,,1059,1059,1059.0,AEKEPN_16485,HMDFDK_01020,DGIGOC_04670,OELDID_26860,NDFCFG_15625,NFOGGK_14390,DILMCD_17450,CJMOAC_26270,GGGPIC_14015,KLDNLM_15175,KAGCPN_15915,NDMAAC_15910,CELEIN_15620,FNPKGJ_14250,OFJEOJ_13765,OGPOLJ_15120,16_refound_66752
group_4631,,paraquat-inducible membrane protein A;Paraquat-inducible protein A,17,17,1.0,1,5425,,,,645,690,666.4285714285714,AEKEPN_15190,HMDFDK_06225,DGIGOC_06605,OELDID_24925,NDFCFG_13570,NFOGGK_12470,DILMCD_20950,7_refound_32686,GGGPIC_05565,KLDNLM_15895,KAGCPN_11265,NDMAAC_11260,CELEIN_11965,FNPKGJ_05050,14_refound_61877,OGPOLJ_04720,16_refound_69087
group_4628,,Glycine cleavage system transcriptional activator;LysR family transcriptional regulator,17,17,1.0,1,5422,,,,879,936,914.625,0_refound_3736,1_refound_7949,DGIGOC_01050,OELDID_01810,4_refound_20311,NFOGGK_18015,6_refound_28654,CJMOAC_06875,8_refound_36844,KLDNLM_13810,KAGCPN_13855,NDMAAC_13850,12_refound_53633,13_refound_57757,OFJEOJ_06300,15_refound_66080,16_refound_69086
nadA,nadA,quinolinate synthase NadA,17,17,1.0,1,5416,,,,1059,1059,1059.0,AEKEPN_25085,HMDFDK_21650,DGIGOC_24970,OELDID_06560,NDFCFG_06480,NFOGGK_22755,DILMCD_10515,CJMOAC_08130,GGGPIC_22075,KLDNLM_23220,KAGCPN_22960,NDMAAC_22965,CELEIN_22615,FNPKGJ_24745,OFJEOJ_07610,OGPOLJ_24485,MOKLEP_05990
group_4622,,MFS transporter,17,17,1.0,1,5415,,,,1149,1209,1197.0,AEKEPN_08270,1_refound_7947,DGIGOC_09750,OELDID_21780,NDFCFG_21230,NFOGGK_09325,DILMCD_26065,CJMOAC_29780,GGGPIC_09530,KLDNLM_09825,KAGCPN_21530,NDMAAC_21535,CELEIN_08455,FNPKGJ_09655,OFJEOJ_22015,OGPOLJ_09010,16_refound_69084
group_4621,,DUF1615 domain-containing protein,17,17,1.0,1,5414,,,,1002,1095,1089.1875,AEKEPN_21780,HMDFDK_06280,DGIGOC_08035,OELDID_23495,NDFCFG_20320,NFOGGK_11040,DILMCD_14065,CJMOAC_30850,GGGPIC_10630,KLDNLM_20185,KAGCPN_11240,NDMAAC_11235,CELEIN_18995,FNPKGJ_10750,OFJEOJ_19135,OGPOLJ_10790,16_refound_69083
group_4618,,Lipoprotein;Putative lipoprotein,17,17,1.0,1,5411,,,,261,270,266.625,AEKEPN_22665,HMDFDK_23670,DGIGOC_27460,OELDID_04070,NDFCFG_08175,NFOGGK_20275,DILMCD_13065,CJMOAC_10730,GGGPIC_10190,KLDNLM_20600,KAGCPN_20240,NDMAAC_20250,CELEIN_20130,FNPKGJ_10295,OFJEOJ_10020,OGPOLJ_10325,16_refound_69082
recA,recA,recombinase RecA,17,17,1.0,1,5410,,,,1059,1059,1059.0,AEKEPN_06155,HMDFDK_09930,DGIGOC_11825,OELDID_19705,NDFCFG_24050,NFOGGK_07250,DILMCD_24485,CJMOAC_18385,GGGPIC_06920,KLDNLM_07470,KAGCPN_07020,NDMAAC_07015,CELEIN_06200,FNPKGJ_06340,OFJEOJ_24150,OGPOLJ_06000,MOKLEP_17630
group_4616,,hypothetical protein,17,17,1.0,1,5408,,,,228,273,258.0,AEKEPN_27255,HMDFDK_19305,DGIGOC_22365,OELDID_09165,NDFCFG_04490,NFOGGK_25360,DILMCD_07930,CJMOAC_05250,GGGPIC_23385,KLDNLM_25755,KAGCPN_25430,NDMAAC_25440,CELEIN_25335,FNPKGJ_26160,OFJEOJ_04575,OGPOLJ_25865,MOKLEP_13940
group_4615,,hypothetical protein;DUF6482 domain-containing protein,17,17,1.0,1,5407,,,,294,306,302.72727272727275,AEKEPN_27265,HMDFDK_19295,DGIGOC_22355,OELDID_09175,NDFCFG_04480,NFOGGK_25370,DILMCD_07920,CJMOAC_05240,8_refound_36843,KLDNLM_25765,10_refound_45149,11_refound_49389,CELEIN_25345,13_refound_57756,OFJEOJ_04565,15_refound_66079,16_refound_69080
group_4614,,methanol dehydrogenase;TPM-phosphatase domain-containing protein,17,17,1.0,1,5406,,,,729,777,756.1764705882352,AEKEPN_06735,HMDFDK_09380,DGIGOC_11155,OELDID_20375,NDFCFG_07330,NFOGGK_07920,DILMCD_25115,CJMOAC_17750,GGGPIC_07900,KLDNLM_08145,KAGCPN_07960,NDMAAC_07955,CELEIN_06845,FNPKGJ_07400,OFJEOJ_23555,OGPOLJ_07035,MOKLEP_08355
group_4613,,ClpXP protease specificity-enhancing factor,17,17,1.0,1,5405,,,,408,420,419.29411764705884,AEKEPN_26290,HMDFDK_20185,DGIGOC_23350,OELDID_08180,NDFCFG_05350,NFOGGK_24380,DILMCD_08940,CJMOAC_06490,GGGPIC_05190,KLDNLM_24830,KAGCPN_24040,NDMAAC_24050,CELEIN_24355,FNPKGJ_04640,OFJEOJ_05925,OGPOLJ_04310,MOKLEP_14785
group_4612,,CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase,17,17,1.0,1,5404,,,,1062,1062,1062.0,0_refound_2523,1_refound_6630,2_refound_10898,3_refound_14974,4_refound_18985,5_refound_23254,6_refound_27424,7_refound_31402,8_refound_35527,9_refound_39693,10_refound_43847,11_refound_48083,12_refound_52384,13_refound_56474,OFJEOJ_00965,15_refound_64870,16_refound_68172
group_4607,,DUF2066 domain-containing protein,17,17,1.0,1,5398,,,,1062,1062,1062.0,AEKEPN_08510,HMDFDK_22340,DGIGOC_09490,OELDID_22040,NDFCFG_21005,NFOGGK_09585,DILMCD_26300,CJMOAC_09250,GGGPIC_20130,KLDNLM_10050,KAGCPN_22065,NDMAAC_22070,CELEIN_08690,FNPKGJ_22600,OFJEOJ_08645,OGPOLJ_22470,MOKLEP_16240
group_4605,,peptidase M4 family protein,17,17,1.0,1,5396,,,,1062,1062,1062.0,0_refound_1748,1_refound_5909,2_refound_10086,3_refound_14158,4_refound_18282,5_refound_22440,6_refound_26538,7_refound_30586,GGGPIC_18840,9_refound_39135,KAGCPN_17535,NDMAAC_17530,12_refound_51660,FNPKGJ_21175,14_refound_60070,OGPOLJ_21070,16_refound_67801
dctP,dctP;,C4-dicarboxylate TRAP substrate-binding protein DctP;C4-dicarboxylate ABC transporter,17,17,1.0,1,5395,,,,984,1095,1009.5,0_refound_3732,1_refound_7944,2_refound_12114,3_refound_16187,4_refound_20307,5_refound_24457,6_refound_28650,CJMOAC_14250,GGGPIC_12965,9_refound_40959,10_refound_45145,11_refound_49385,12_refound_53629,FNPKGJ_16290,OFJEOJ_17495,OGPOLJ_17280,MOKLEP_09780
truA,truA,tRNA pseudouridine(38-40) synthase TruA,17,17,1.0,1,5393,,,,612,930,845.1176470588235,AEKEPN_10270,HMDFDK_25540,DGIGOC_28210,OELDID_03320,NDFCFG_19755,NFOGGK_19525,DILMCD_27810,CJMOAC_28995,GGGPIC_18720,KLDNLM_12605,KAGCPN_19755,NDMAAC_19765,CELEIN_10190,FNPKGJ_21025,OFJEOJ_19795,OGPOLJ_20920,MOKLEP_00335
group_4598,,ABC transporter ATP-binding protein,17,17,1.0,1,5386,,,,1779,1827,1824.1764705882354,AEKEPN_23525,HMDFDK_22925,DGIGOC_26635,OELDID_04895,NDFCFG_22635,NFOGGK_21100,DILMCD_12255,CJMOAC_09840,GGGPIC_19190,KLDNLM_21495,KAGCPN_09265,NDMAAC_09260,CELEIN_20965,FNPKGJ_21670,OFJEOJ_09205,OGPOLJ_21540,MOKLEP_03930
nCS2,nCS2;,guanine permease,17,17,1.0,1,5380,,,,1350,1380,1351.764705882353,AEKEPN_08890,HMDFDK_22710,DGIGOC_09090,OELDID_22440,NDFCFG_20645,NFOGGK_09985,DILMCD_26715,CJMOAC_09630,GGGPIC_19430,KLDNLM_10550,KAGCPN_21630,NDMAAC_21635,CELEIN_09105,FNPKGJ_21885,OFJEOJ_09020,OGPOLJ_21760,MOKLEP_15680
cc4,;cc4,cytochrome c4;Cytochrome c4,17,17,1.0,1,5376,,,,474,633,603.1764705882352,AEKEPN_00375,HMDFDK_15105,DGIGOC_17675,OELDID_13855,NDFCFG_00190,NFOGGK_01400,DILMCD_03360,CJMOAC_00265,GGGPIC_01310,KLDNLM_00760,KAGCPN_01145,NDMAAC_01140,CELEIN_00270,FNPKGJ_00415,OFJEOJ_29805,OGPOLJ_00410,MOKLEP_09450
splB,splB,radical SAM protein,17,17,1.0,1,5375,,,,1065,1065,1065.0,AEKEPN_00230,HMDFDK_15250,DGIGOC_17530,OELDID_14000,NDFCFG_00335,NFOGGK_01545,DILMCD_03215,CJMOAC_00410,GGGPIC_01165,KLDNLM_00620,KAGCPN_01470,NDMAAC_01465,CELEIN_00415,FNPKGJ_00275,OFJEOJ_29950,OGPOLJ_00270,MOKLEP_10230
oafA,oafA,acyltransferase,17,17,1.0,1,5374,,,,1065,1065,1065.0,0_refound_2949,1_refound_7044,2_refound_11339,3_refound_15416,4_refound_19400,5_refound_23689,6_refound_27859,7_refound_31856,8_refound_35934,9_refound_40100,10_refound_44268,11_refound_48509,12_refound_52833,13_refound_56938,14_refound_61031,15_refound_65259,MOKLEP_10225
group_4589,,DTW domain-containing protein,17,17,1.0,1,5373,,,,552,759,733.0588235294117,AEKEPN_06180,HMDFDK_09905,DGIGOC_11800,OELDID_19730,NDFCFG_24025,NFOGGK_07275,DILMCD_24510,CJMOAC_18360,GGGPIC_06940,KLDNLM_07495,KAGCPN_07045,NDMAAC_07040,CELEIN_06225,FNPKGJ_06360,OFJEOJ_24125,OGPOLJ_06020,MOKLEP_17660
group_4588,,serine kinase/phosphatase;HPr;Serine kinase/phosphatase,17,17,1.0,1,5372,,,,333,405,398.625,AEKEPN_26770,HMDFDK_19770,DGIGOC_22865,OELDID_08665,NDFCFG_04970,NFOGGK_24860,DILMCD_08450,CJMOAC_05755,GGGPIC_04330,KLDNLM_25250,KAGCPN_24905,NDMAAC_24915,CELEIN_24820,FNPKGJ_03740,OFJEOJ_05130,OGPOLJ_03500,16_refound_69078
group_4587,,Post-SET domain-containing protein;lysine methyltransferase,17,17,1.0,1,5371,,,,516,528,524.0,AEKEPN_26760,HMDFDK_19780,DGIGOC_22875,OELDID_08655,4_refound_20305,NFOGGK_24850,DILMCD_08460,7_refound_32680,GGGPIC_04340,9_refound_40956,KAGCPN_24895,NDMAAC_24905,CELEIN_24810,FNPKGJ_03750,14_refound_61873,OGPOLJ_03510,16_refound_69077
group_4583,,cell envelope biogenesis protein OmpA,17,17,1.0,1,5367,,,,711,774,746.4375,AEKEPN_26420,HMDFDK_20095,DGIGOC_23280,OELDID_08250,NDFCFG_05280,NFOGGK_24450,DILMCD_08870,CJMOAC_06420,GGGPIC_05580,KLDNLM_24900,KAGCPN_24170,NDMAAC_24180,CELEIN_24425,FNPKGJ_05065,OFJEOJ_05855,OGPOLJ_04735,16_refound_69076
group_4581,,Anti-sigma-factor antagonist;anti-anti-sigma factor,17,17,1.0,1,5365,,,,285,330,304.2352941176471,AEKEPN_04360,HMDFDK_11240,DGIGOC_13425,OELDID_18105,NDFCFG_25680,NFOGGK_05650,DILMCD_22890,CJMOAC_20020,GGGPIC_05405,KLDNLM_06060,KAGCPN_05685,NDMAAC_05675,CELEIN_04555,FNPKGJ_04875,OFJEOJ_25690,OGPOLJ_04545,MOKLEP_14640
group_4575,,Aminopeptidase;aminopeptidase;putative aminopeptidase,17,17,1.0,1,5359,,,,861,1098,1028.2941176470588,AEKEPN_00435,HMDFDK_15280,DGIGOC_17480,OELDID_14050,NDFCFG_00125,NFOGGK_01595,DILMCD_03160,CJMOAC_00460,GGGPIC_01120,KLDNLM_00590,KAGCPN_01645,NDMAAC_01640,CELEIN_00475,FNPKGJ_00230,OFJEOJ_29995,OGPOLJ_00225,MOKLEP_10300
group_4573,,Hexitol phosphatase A;HAD-IA family hydrolase,17,17,1.0,1,5356,,,,663,681,679.6153846153846,AEKEPN_20240,1_refound_7941,DGIGOC_06860,OELDID_24670,NDFCFG_11030,NFOGGK_12215,DILMCD_15295,7_refound_32678,GGGPIC_18595,KLDNLM_16730,KAGCPN_17775,NDMAAC_17775,CELEIN_17755,FNPKGJ_20900,14_refound_61870,OGPOLJ_20795,16_refound_69073
