Gene,Non-unique Gene name,Annotation,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
adeC,adeC,multidrug transporter,AEKEPN_06630,HMDFDK_09470,DGIGOC_11250,OELDID_20280,NDFCFG_07245,NFOGGK_07825,DILMCD_25030,CJMOAC_17870,GGGPIC_07795,KLDNLM_08060,KAGCPN_07870,NDMAAC_07865,CELEIN_06760,FNPKGJ_07270,OFJEOJ_23675,OGPOLJ_06925,MOKLEP_16790
group_1794,,Porin,AEKEPN_06620,HMDFDK_19490,DGIGOC_11260,OELDID_20270,NDFCFG_07240,NFOGGK_07815,DILMCD_25025,CJMOAC_17875,GGGPIC_07790,KLDNLM_08035,KAGCPN_07860,NDMAAC_07855,CELEIN_06755,FNPKGJ_07255,OFJEOJ_10820,OGPOLJ_06910,16_refound_68351
pcaB,pcaB,3-carboxy-ciscis-muconate cycloisomerase,AEKEPN_06605,HMDFDK_04715,DGIGOC_11290,OELDID_20240,NDFCFG_07225,NFOGGK_07785,DILMCD_25005,CJMOAC_17905,GGGPIC_07765,KLDNLM_08020,KAGCPN_07845,NDMAAC_07840,CELEIN_06735,FNPKGJ_07220,OFJEOJ_23710,OGPOLJ_06880,16_refound_68349_stop
group_1791,araJ,alpha-ketoglutarate permease,AEKEPN_25375,HMDFDK_21380,DGIGOC_24630,OELDID_06900,NDFCFG_06180,NFOGGK_23095,DILMCD_10175,CJMOAC_07815,GGGPIC_22455,KLDNLM_23550,KAGCPN_23270,NDMAAC_23275,CELEIN_22935,FNPKGJ_25010,OFJEOJ_07225,OGPOLJ_24750,16_refound_68348
group_1789,,IS4 family transposase,AEKEPN_30480,1_refound_7285_stop,2_refound_11595_stop,3_refound_15671_stop,4_refound_19663,5_refound_23944_stop,DILMCD_05270,7_refound_32105_stop,8_refound_36198_stop,9_refound_40360_stop,10_refound_44530_stop,11_refound_48769_stop,12_refound_53107_stop,13_refound_57181_stop,14_refound_61295_stop,15_refound_65502_stop,16_refound_68346_stop
pcaF,pcaF,3-oxoadipyl-CoA thiolase,AEKEPN_06585,HMDFDK_09505,DGIGOC_11310,OELDID_20220,NDFCFG_07205,NFOGGK_07765,DILMCD_24985,CJMOAC_17925,GGGPIC_07745,KLDNLM_08000,KAGCPN_07825,NDMAAC_07820,CELEIN_06715,FNPKGJ_07200,OFJEOJ_23720,OGPOLJ_06860,MOKLEP_15720
livG,livG,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG,AEKEPN_06480,HMDFDK_09605,DGIGOC_11420,OELDID_20110,NDFCFG_07080,NFOGGK_07655,DILMCD_24880,CJMOAC_18045,GGGPIC_07630,KLDNLM_07895,KAGCPN_07355,NDMAAC_07350,CELEIN_06600,FNPKGJ_07085,OFJEOJ_23825,OGPOLJ_06745,MOKLEP_15770
group_1786,,IS4 family transposase,AEKEPN_12725,1_refound_7284,2_refound_11594,3_refound_15670,4_refound_19662_stop,5_refound_23943,DILMCD_12160,7_refound_32104_stop,8_refound_36197,9_refound_40359,10_refound_44529_stop,11_refound_48768_stop,12_refound_53106_stop,13_refound_57180_stop,14_refound_61294_stop,15_refound_65501_stop,16_refound_68345
group_1785,,short chain dehydrogenase,AEKEPN_06460,HMDFDK_09620,DGIGOC_11465,OELDID_20065,NDFCFG_07065,NFOGGK_07610,DILMCD_24835,CJMOAC_18080,GGGPIC_07595,KLDNLM_07860,KAGCPN_07320,NDMAAC_07315,CELEIN_06555,FNPKGJ_07050,OFJEOJ_23860,OGPOLJ_06710,16_refound_68343
group_1784,,IS4 family transposase,AEKEPN_12695,1_refound_7283_stop,2_refound_11593_stop,3_refound_15669_stop,4_refound_19661_stop,5_refound_23942_stop,DILMCD_26730,7_refound_32103_stop,8_refound_36196_stop,9_refound_40358_stop,10_refound_44528_stop,11_refound_48767_stop,12_refound_53105_stop,13_refound_57179_stop,14_refound_61293_stop,15_refound_65500_stop,16_refound_68344
group_1779,,Histidine-binding periplasmic protein,AEKEPN_18425,HMDFDK_07445,2_refound_11591_stop,3_refound_15667_stop,4_refound_19659,5_refound_23940_stop,6_refound_28109_stop,7_refound_32101,GGGPIC_11960,9_refound_40356,10_refound_44526,11_refound_48765,12_refound_53103_stop,13_refound_57177,14_refound_61291,15_refound_65498,16_refound_68339
group_1778,,Histidine-binding periplasmic protein,AEKEPN_06330,HMDFDK_09735,DGIGOC_11625,OELDID_19905,NDFCFG_06935,NFOGGK_07450,DILMCD_24675,CJMOAC_18195,GGGPIC_07490,KLDNLM_07670,KAGCPN_07190,NDMAAC_07185,CELEIN_06405,FNPKGJ_06935,OFJEOJ_23980,OGPOLJ_06590,16_refound_68340
group_1777,,cytochrome C oxidase Cbb3,0_refound_1981,1_refound_6117,2_refound_10330,3_refound_14408,4_refound_18487_stop,5_refound_22689,6_refound_26797_stop,7_refound_30811_stop,8_refound_34974_stop,KLDNLM_17815,KAGCPN_16495,NDMAAC_16490,12_refound_51912_stop,13_refound_56127_stop,14_refound_60281_stop,15_refound_64440_stop,MOKLEP_14375
group_1774,,Histidine-binding periplasmic protein,AEKEPN_18980,HMDFDK_02545,2_refound_11590_stop,3_refound_15666_stop,4_refound_19658_stop,5_refound_23939_stop,6_refound_28108_stop,CJMOAC_16345,GGGPIC_21455,9_refound_40354,10_refound_44525,11_refound_48764,12_refound_53102_stop,FNPKGJ_24025,14_refound_61290,OGPOLJ_23780,16_refound_68338
group_1766,,peptidase M14,AEKEPN_19760,HMDFDK_08670,DGIGOC_00245,OELDID_02615,NDFCFG_18520,NFOGGK_18820,DILMCD_15440,CJMOAC_30595,8_refound_36191_stop,9_refound_40352_stop,KAGCPN_11170,NDMAAC_11165,CELEIN_17610,13_refound_57172_stop,OFJEOJ_19295,15_refound_65495_stop,16_refound_68337
group_1764,,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,AEKEPN_06085,HMDFDK_10000,DGIGOC_12145,OELDID_19385,NDFCFG_24120,NFOGGK_06930,DILMCD_24215,CJMOAC_18635,GGGPIC_07405,KLDNLM_07220,KAGCPN_06765,NDMAAC_06755,CELEIN_05925,FNPKGJ_06855,OFJEOJ_24415,OGPOLJ_06510,MOKLEP_17900
group_1763,,DUF481 domain-containing protein,AEKEPN_06290,HMDFDK_09780,DGIGOC_11675,OELDID_19855,4_refound_19655_stop,NFOGGK_07400,DILMCD_24625,7_refound_32097_stop,GGGPIC_22610,KLDNLM_07625,KAGCPN_07145,NDMAAC_07140,CELEIN_06355,FNPKGJ_25185,OFJEOJ_24025,OGPOLJ_24930,MOKLEP_06385
kup,kup,potassium uptake protein,AEKEPN_06235,HMDFDK_09845,DGIGOC_11750,OELDID_19780,NDFCFG_06830,NFOGGK_07325,DILMCD_24565,CJMOAC_18300,GGGPIC_06990,KLDNLM_07550,KAGCPN_07095,NDMAAC_07090,CELEIN_06280,FNPKGJ_06410,OFJEOJ_24075,OGPOLJ_06070,16_refound_68335_stop
group_1761,,3-oxoacyl-ACP reductase,AEKEPN_06210,HMDFDK_09870,2_refound_11588,3_refound_15664,4_refound_19654_stop,5_refound_23937,DILMCD_24540,CJMOAC_18325,8_refound_36190_stop,9_refound_40350,10_refound_44521_stop,11_refound_48760_stop,CELEIN_06255,13_refound_57170,14_refound_61288,15_refound_65493,16_refound_68334_stop
fpr,fpr,ferredoxin-NADP reductase,AEKEPN_06200,HMDFDK_09880,DGIGOC_11780,OELDID_19750,NDFCFG_24005,NFOGGK_07295,DILMCD_24530,CJMOAC_18335,GGGPIC_06960,KLDNLM_07515,KAGCPN_07065,NDMAAC_07060,CELEIN_06245,FNPKGJ_06380,OFJEOJ_24105,OGPOLJ_06040,MOKLEP_17680
group_1759,,cold-shock protein,AEKEPN_06295,HMDFDK_09775,DGIGOC_11670,OELDID_19860,NDFCFG_06890,NFOGGK_07405,DILMCD_24630,CJMOAC_18230,GGGPIC_07445,KLDNLM_07635,KAGCPN_07155,NDMAAC_07150,CELEIN_06360,FNPKGJ_06895,OFJEOJ_24015,OGPOLJ_06550,MOKLEP_15755
group_1758,,cold-shock protein,AEKEPN_05890,HMDFDK_10195,DGIGOC_12350,OELDID_19180,NDFCFG_24325,NFOGGK_06725,DILMCD_24015,CJMOAC_18830,GGGPIC_07205,KLDNLM_07025,KAGCPN_06555,NDMAAC_06545,CELEIN_05730,FNPKGJ_06655,OFJEOJ_24610,OGPOLJ_06315,MOKLEP_17200
map,map,type I methionyl aminopeptidase,AEKEPN_05955,HMDFDK_10125,DGIGOC_12275,OELDID_19255,NDFCFG_24250,NFOGGK_06800,DILMCD_24085,CJMOAC_18765,GGGPIC_07270,KLDNLM_07090,KAGCPN_06635,NDMAAC_06625,CELEIN_05795,FNPKGJ_06720,OFJEOJ_24545,OGPOLJ_06380,MOKLEP_17770
group_1752,,cold-shock protein,AEKEPN_25075,HMDFDK_21660,DGIGOC_24980,OELDID_06550,NDFCFG_06490,NFOGGK_22745,DILMCD_10525,CJMOAC_08140,GGGPIC_22065,KLDNLM_23210,KAGCPN_22950,NDMAAC_22955,CELEIN_22605,FNPKGJ_24735,OFJEOJ_07620,OGPOLJ_24475,MOKLEP_16515
lysR,lysR,LysR family transcriptional regulator,AEKEPN_05685,HMDFDK_10370,DGIGOC_12530,OELDID_19000,NDFCFG_24515,NFOGGK_06545,6_refound_28103,7_refound_32094,8_refound_36188,9_refound_40347,KAGCPN_06370,NDMAAC_06360,12_refound_53096_stop,FNPKGJ_06465,OFJEOJ_24790,OGPOLJ_06125,16_refound_68333
group_1748,,DNA-binding response regulator,AEKEPN_25370,HMDFDK_21385,DGIGOC_24635,OELDID_06895,NDFCFG_06185,NFOGGK_23090,DILMCD_10195,7_refound_32092,GGGPIC_22450,KLDNLM_23545,KAGCPN_23265,NDMAAC_23270,CELEIN_22930,FNPKGJ_25005,14_refound_61285,OGPOLJ_24745,16_refound_68330_stop
nuoM,nuoM,NADH-quinone oxidoreductase subunit M,AEKEPN_20940,HMDFDK_25150,DGIGOC_07285,OELDID_24245,NDFCFG_10365,NFOGGK_11790,DILMCD_14880,CJMOAC_11970,GGGPIC_17180,KLDNLM_19605,KAGCPN_18655,NDMAAC_18650,CELEIN_18230,FNPKGJ_18100,OFJEOJ_11730,OGPOLJ_19060,MOKLEP_03365
group_1743,,lysine transporter LysE,AEKEPN_05570,HMDFDK_20970,DGIGOC_24140,OELDID_07390,NDFCFG_24620,NFOGGK_23590,DILMCD_09730,CJMOAC_07370,GGGPIC_23105,KLDNLM_24000,KAGCPN_23360,NDMAAC_23365,CELEIN_23370,FNPKGJ_25800,OFJEOJ_06775,OGPOLJ_25500,16_refound_68329
emrB,emrB,MFS transporter,AEKEPN_21005,HMDFDK_05890,DGIGOC_07435,OELDID_24095,NDFCFG_10300,NFOGGK_11640,DILMCD_14735,CJMOAC_11930,GGGPIC_17350,KLDNLM_19755,KAGCPN_19200,NDMAAC_19210,CELEIN_18380,FNPKGJ_18325,OFJEOJ_11645,OGPOLJ_19290,16_refound_66830
group_1737,,transposase,AEKEPN_29835,HMDFDK_16975,DGIGOC_00655,OELDID_02205,NDFCFG_02065,NFOGGK_18410,6_refound_28099,7_refound_32091_stop,8_refound_36183,9_refound_40341,KAGCPN_17395,NDMAAC_17390,12_refound_53094,FNPKGJ_18675,14_refound_61281,OGPOLJ_19640,16_refound_68327
group_1735,,transposase,AEKEPN_05515,1_refound_7274,2_refound_11582,3_refound_15658_stop,NDFCFG_24660,5_refound_23931,6_refound_28098,7_refound_32089,8_refound_36182_stop,KLDNLM_24070,KAGCPN_23455,NDMAAC_23460,12_refound_53092_stop,FNPKGJ_10830,14_refound_61279,OGPOLJ_10875,16_refound_68326_stop
group_1727,,membrane-bound PQQ-dependent dehydrogenase glucose/quinate/shikimate family,AEKEPN_05440,HMDFDK_20880,DGIGOC_24000,OELDID_07530,NDFCFG_24725,NFOGGK_23730,DILMCD_09595,CJMOAC_07255,GGGPIC_06300,KLDNLM_24155,KAGCPN_23520,NDMAAC_23525,CELEIN_23725,FNPKGJ_05835,OFJEOJ_06685,OGPOLJ_05500,16_refound_68325_stop
group_1726,,phenylacyl-CoA dehydrogenase,AEKEPN_28850,HMDFDK_17850,DGIGOC_20810,OELDID_10730,NDFCFG_02920,NFOGGK_26925,DILMCD_06360,CJMOAC_03545,GGGPIC_25670,KLDNLM_27370,KAGCPN_27135,NDMAAC_27135,CELEIN_26985,FNPKGJ_28410,OFJEOJ_02790,OGPOLJ_28170,MOKLEP_08690
group_1725,,phenylacyl-CoA dehydrogenase,AEKEPN_11310,HMDFDK_25725,2_refound_11580_stop,3_refound_15656_stop,NDFCFG_25155,5_refound_23929_stop,6_refound_28094_stop,CJMOAC_27940,8_refound_36180,9_refound_40339,10_refound_44511_stop,11_refound_48750_stop,12_refound_53088_stop,13_refound_57161_stop,14_refound_61277,15_refound_65485,MOKLEP_09125
group_1721,,phenylacyl-CoA dehydrogenase,AEKEPN_28830,HMDFDK_17840,DGIGOC_20800,OELDID_10720,NDFCFG_02910,NFOGGK_26915,DILMCD_06345,CJMOAC_03535,GGGPIC_25660,KLDNLM_27360,KAGCPN_27130,NDMAAC_27130,CELEIN_26975,FNPKGJ_28405,OFJEOJ_02780,OGPOLJ_28165,MOKLEP_08685
group_1707,,DNA-binding response regulator,AEKEPN_24320,HMDFDK_22170,DGIGOC_10680,OELDID_20850,NDFCFG_23400,NFOGGK_08395,DILMCD_11430,CJMOAC_09070,GGGPIC_21215,KLDNLM_22465,KAGCPN_22220,NDMAAC_22225,CELEIN_21775,FNPKGJ_23825,OFJEOJ_08480,OGPOLJ_23580,MOKLEP_03980
group_1705,leuA,2-isopropylmalate synthase,0_refound_2884,1_refound_6983,2_refound_11274,3_refound_15352,4_refound_19336_stop,5_refound_23625,6_refound_27798,7_refound_31789,8_refound_35870_stop,9_refound_40036,10_refound_44204_stop,11_refound_48445_stop,12_refound_52771_stop,13_refound_56873_stop,14_refound_60969,15_refound_65193,MOKLEP_06705
pckA,pckA,phosphoenolpyruvate carboxykinase,AEKEPN_01115,HMDFDK_14230,DGIGOC_16685,OELDID_14845,NDFCFG_28605,NFOGGK_02390,DILMCD_02295,CJMOAC_21780,GGGPIC_02275,KLDNLM_02950,KAGCPN_02495,NDMAAC_02490,CELEIN_01270,FNPKGJ_01375,OFJEOJ_28790,OGPOLJ_01365,MOKLEP_09165
group_1697,mmsA,malonate-semialdehyde dehydrogenase,AEKEPN_03495,HMDFDK_12125,DGIGOC_14360,OELDID_17170,NDFCFG_26490,NFOGGK_04715,DILMCD_21890,CJMOAC_21025,GGGPIC_23565,KLDNLM_05200,KAGCPN_04760,NDMAAC_04755,CELEIN_03645,FNPKGJ_26310,OFJEOJ_26595,OGPOLJ_26015,16_refound_66493
group_1694,,L-serine ammonia-lyase,AEKEPN_25065,HMDFDK_21670,DGIGOC_24990,OELDID_06540,NDFCFG_06500,NFOGGK_22735,DILMCD_10535,CJMOAC_08150,GGGPIC_22055,KLDNLM_23200,KAGCPN_22940,NDMAAC_22945,CELEIN_22595,FNPKGJ_24725,OFJEOJ_07630,OGPOLJ_24465,MOKLEP_00090
group_1692,,3-oxoacyl-ACP reductase,AEKEPN_04540,HMDFDK_11075,DGIGOC_13255,OELDID_18275,NDFCFG_25525,NFOGGK_05820,DILMCD_23070,CJMOAC_19845,GGGPIC_23250,KLDNLM_06255,KAGCPN_24370,NDMAAC_24380,CELEIN_04735,FNPKGJ_26035,OFJEOJ_25525,OGPOLJ_25740,MOKLEP_14930
cysN,cysN,sulfate adenylyltransferase subunit CysN,AEKEPN_04405,HMDFDK_11195,DGIGOC_13380,OELDID_18150,NDFCFG_25635,NFOGGK_05695,DILMCD_22945,CJMOAC_19965,GGGPIC_04730,KLDNLM_06115,KAGCPN_24480,NDMAAC_24490,CELEIN_04610,FNPKGJ_04195,OFJEOJ_25645,OGPOLJ_03875,MOKLEP_14690
trxB,trxB,thioredoxin-disulfide reductase,AEKEPN_04470,HMDFDK_11155,DGIGOC_13335,OELDID_18195,NDFCFG_25595,NFOGGK_05740,DILMCD_22990,CJMOAC_19925,GGGPIC_23315,KLDNLM_06185,KAGCPN_24440,NDMAAC_24450,CELEIN_04655,FNPKGJ_26100,OFJEOJ_25605,OGPOLJ_25805,16_refound_68315
btuE,btuE,glutathione peroxidase,AEKEPN_04445,HMDFDK_11175,DGIGOC_13355,OELDID_18175,NDFCFG_25615,NFOGGK_05720,DILMCD_22965,CJMOAC_19945,GGGPIC_23345,KLDNLM_06135,KAGCPN_24460,NDMAAC_24470,CELEIN_04630,FNPKGJ_26120,OFJEOJ_25625,OGPOLJ_25825,MOKLEP_15060
group_1686,,leucyl aminopeptidase,0_refound_573,1_refound_4769_stop,DGIGOC_10245,OELDID_21285,4_refound_17426_stop,NFOGGK_08830,DILMCD_28735,CJMOAC_29330,GGGPIC_21940,KLDNLM_09370,KAGCPN_22585,NDMAAC_22590,CELEIN_07905,FNPKGJ_24605,OFJEOJ_22510,OGPOLJ_24340,16_refound_67265_stop
group_1685,,acyltransferase,AEKEPN_04430,HMDFDK_11190,DGIGOC_13375,OELDID_18155,NDFCFG_25630,NFOGGK_05700,DILMCD_22950,CJMOAC_19960,GGGPIC_04735,KLDNLM_06120,KAGCPN_24475,NDMAAC_24485,CELEIN_04615,FNPKGJ_04200,OFJEOJ_25640,OGPOLJ_03880,MOKLEP_15040
group_1681,,FAD-dependent oxidoreductase,AEKEPN_21790,HMDFDK_06295,DGIGOC_08040,OELDID_23490,NDFCFG_20335,NFOGGK_11035,DILMCD_14055,CJMOAC_30840,8_refound_33475,KLDNLM_20190,KAGCPN_13040,NDMAAC_13035,CELEIN_19005,13_refound_54398_stop,OFJEOJ_19145,15_refound_62715_stop,16_refound_66856_stop
araJ,araJ,EmrB/QacA family drug resistance transporter,AEKEPN_10165,HMDFDK_25090,DGIGOC_28090,OELDID_03440,NDFCFG_19860,NFOGGK_19645,DILMCD_27690,CJMOAC_27855,GGGPIC_22095,9_refound_37369_stop,10_refound_41466,11_refound_45693,CELEIN_10070,13_refound_54097_stop,OFJEOJ_19935,15_refound_62397_stop,16_refound_66643
garD,garD,galactarate dehydratase,AEKEPN_04175,HMDFDK_11425,DGIGOC_13610,OELDID_17920,NDFCFG_25865,NFOGGK_05465,DILMCD_22705,7_refound_28993,GGGPIC_05220,KLDNLM_05875,KAGCPN_05500,NDMAAC_05490,CELEIN_04370,FNPKGJ_04675,OFJEOJ_25875,OGPOLJ_04345,16_refound_66510
group_1664,,hypothetical protein,AEKEPN_03675,HMDFDK_26155,2_refound_11575_stop,3_refound_15651_stop,NDFCFG_13745,5_refound_23924_stop,6_refound_28091,7_refound_32079,8_refound_36173,9_refound_40331,10_refound_44501,11_refound_48740,12_refound_53083_stop,13_refound_57155,14_refound_61270_stop,15_refound_65479_stop,16_refound_68311_stop
group_1661,,DUF1329 domain-containing protein,AEKEPN_26435,HMDFDK_20060,DGIGOC_23260,3_refound_15648,NDFCFG_20050,NFOGGK_24470,6_refound_28089,7_refound_32077_stop,8_refound_36170,9_refound_40328_stop,10_refound_44498_stop,11_refound_48737_stop,CELEIN_24455,13_refound_57152_stop,14_refound_61267_stop,15_refound_65476_stop,MOKLEP_06495
group_1657,,Phosphotransferase enzyme family,AEKEPN_26885,HMDFDK_19665,DGIGOC_22745,OELDID_08785,NDFCFG_04855,NFOGGK_24980,DILMCD_08330,CJMOAC_05630,GGGPIC_23675,KLDNLM_25370,KAGCPN_25025,NDMAAC_25035,CELEIN_24940,FNPKGJ_26445,OFJEOJ_05010,OGPOLJ_26150,MOKLEP_06815
group_1655,,DUF1329 domain-containing protein,AEKEPN_03605,HMDFDK_11985,DGIGOC_14200,OELDID_08270,NDFCFG_05265,NFOGGK_04875,DILMCD_08850,CJMOAC_06375,GGGPIC_05545,KLDNLM_24920,KAGCPN_05765,NDMAAC_05755,CELEIN_03830,FNPKGJ_05030,OFJEOJ_05755,OGPOLJ_04700,MOKLEP_14960
group_1651,,PLP-dependent aminotransferase family protein,AEKEPN_31125,HMDFDK_15870,DGIGOC_18440,OELDID_13090,NDFCFG_00920,NFOGGK_00635,DILMCD_04050,CJMOAC_01160,GGGPIC_00525,KLDNLM_01640,KAGCPN_00465,NDMAAC_00465,CELEIN_29280,FNPKGJ_30690,OFJEOJ_00350,OGPOLJ_30425,16_refound_67037
tssA,tssA,type VI secretion system protein TssA,AEKEPN_13515,1_refound_4261_stop,DGIGOC_18610,OELDID_12920,NDFCFG_10685,NFOGGK_00465,DILMCD_04205,CJMOAC_24595,GGGPIC_15755,KLDNLM_02235,10_refound_41535,11_refound_45763,CELEIN_29125,FNPKGJ_16710,OFJEOJ_00525,OGPOLJ_17660,MOKLEP_11250
group_1649,,Omega-amino acid--pyruvate aminotransferase,0_refound_3170,HMDFDK_00195,2_refound_11568,3_refound_15644,4_refound_19634,5_refound_23917,6_refound_28084_stop,7_refound_32074_stop,8_refound_36167_stop,9_refound_40324_stop,10_refound_44494,11_refound_48733,12_refound_53075,FNPKGJ_20085,14_refound_61263_stop,15_refound_65472,MOKLEP_09930
group_1648,,zinc-binding alcohol dehydrogenase family protein,AEKEPN_03355,HMDFDK_12270,DGIGOC_14520,OELDID_17010,NDFCFG_26635,NFOGGK_04555,DILMCD_00125,CJMOAC_24020,GGGPIC_04195,KLDNLM_05055,KAGCPN_04600,NDMAAC_04595,CELEIN_03475,FNPKGJ_03605,OFJEOJ_26785,OGPOLJ_03365,MOKLEP_08370
group_1644,,acetyl-CoA C-acetyltransferase,AEKEPN_03310,HMDFDK_12315,DGIGOC_14565,OELDID_16965,NDFCFG_26685,NFOGGK_04510,DILMCD_00175,CJMOAC_23975,GGGPIC_04155,KLDNLM_05000,KAGCPN_04550,NDMAAC_04545,CELEIN_03425,FNPKGJ_03565,OFJEOJ_26830,OGPOLJ_03325,16_refound_68308
group_1641,aroQ,type II 3-dehydroquinate dehydratase,AEKEPN_03140,HMDFDK_12490,DGIGOC_14745,OELDID_16785,NDFCFG_26790,NFOGGK_04330,DILMCD_00370,CJMOAC_23810,GGGPIC_03980,KLDNLM_04860,KAGCPN_04465,NDMAAC_04460,CELEIN_03205,FNPKGJ_03390,OFJEOJ_27000,OGPOLJ_03150,16_refound_68306_stop
aroQ,aroQ,type II 3-dehydroquinate dehydratase,0_refound_3169_stop,1_refound_7266_stop,DGIGOC_22170,OELDID_09360,NDFCFG_18130,NFOGGK_25555,6_refound_28083_stop,CJMOAC_05000,GGGPIC_24275,9_refound_40323_stop,10_refound_44493,11_refound_48732,12_refound_53073_stop,FNPKGJ_27120,OFJEOJ_04375,OGPOLJ_26875,16_refound_68307
group_1638,livF,ABC transporter ATP-binding protein,AEKEPN_02965,HMDFDK_12655,DGIGOC_14935,OELDID_16595,NDFCFG_26955,NFOGGK_04140,DILMCD_00525,CJMOAC_23615,GGGPIC_03800,KLDNLM_04670,KAGCPN_04275,NDMAAC_04270,CELEIN_03045,FNPKGJ_03220,14_refound_61259,OGPOLJ_02980,MOKLEP_08505
livF,livF,ABC transporter ATP-binding protein,AEKEPN_06475,1_refound_7264_stop,2_refound_11566,3_refound_15642,4_refound_19631,5_refound_23915,6_refound_28082,CJMOAC_31050,GGGPIC_11870,9_refound_40321,10_refound_44491,11_refound_48730,12_refound_53071_stop,FNPKGJ_18910,14_refound_61260,OGPOLJ_19870,16_refound_68304_stop
group_1635,,Integral membrane protein TerC family,0_refound_96,HMDFDK_03890,DGIGOC_05355,OELDID_26175,4_refound_17019,NFOGGK_13715,DILMCD_16685,CJMOAC_24390,GGGPIC_15880,9_refound_37792_stop,10_refound_41928_stop,11_refound_46157_stop,CELEIN_16315,FNPKGJ_12635,OFJEOJ_12425,OGPOLJ_13065,MOKLEP_16125
group_1633,,alpha/beta hydrolase,AEKEPN_02875,HMDFDK_04420,DGIGOC_15015,OELDID_16515,NDFCFG_27040,NFOGGK_04060,6_refound_28081,CJMOAC_23520,8_refound_36163_stop,KLDNLM_04590,KAGCPN_04205,NDMAAC_04200,12_refound_53070,FNPKGJ_03140,OFJEOJ_27265,OGPOLJ_02900,16_refound_68302
group_1626,,branched chain amino acid ABC transporter substrate-binding protein,AEKEPN_06495,HMDFDK_09590,DGIGOC_11405,OELDID_20125,NDFCFG_07095,NFOGGK_07670,DILMCD_24895,CJMOAC_18030,GGGPIC_07645,KLDNLM_07910,KAGCPN_07370,NDMAAC_07365,CELEIN_06615,FNPKGJ_07100,OFJEOJ_23810,OGPOLJ_06760,MOKLEP_15785
group_1623,,SulP family inorganic anion transporter,AEKEPN_00125,HMDFDK_15360,DGIGOC_17815,OELDID_13715,NDFCFG_00440,NFOGGK_01260,DILMCD_03500,CJMOAC_00550,GGGPIC_01020,KLDNLM_00895,KAGCPN_01280,NDMAAC_01275,CELEIN_00130,FNPKGJ_00125,OFJEOJ_30085,OGPOLJ_00125,16_refound_66419_stop
group_1621,,channel protein TolC,AEKEPN_02460,HMDFDK_13210,DGIGOC_15450,OELDID_16080,NDFCFG_27450,NFOGGK_03625,DILMCD_01060,CJMOAC_23115,GGGPIC_03340,KLDNLM_04155,KAGCPN_03765,NDMAAC_03760,CELEIN_02475,FNPKGJ_02760,OFJEOJ_27655,OGPOLJ_02515,MOKLEP_12330
group_1619,,DUF1921 domain-containing protein,0_refound_1048_stop,1_refound_5209_stop,2_refound_9304_stop,3_refound_13374_stop,4_refound_17634,5_refound_21657_stop,DILMCD_13900,7_refound_30255_stop,8_refound_34389_stop,9_refound_38497_stop,10_refound_42646,11_refound_46876_stop,12_refound_50979_stop,13_refound_55309,14_refound_59386_stop,15_refound_63617,16_refound_67501_stop
group_1618,,Acyl-CoA dehydrogenase,AEKEPN_02270,HMDFDK_13370,DGIGOC_15655,OELDID_15875,NDFCFG_27625,NFOGGK_03420,DILMCD_01260,CJMOAC_22900,GGGPIC_03160,KLDNLM_03925,KAGCPN_03560,NDMAAC_03555,CELEIN_02270,FNPKGJ_02555,OFJEOJ_27835,OGPOLJ_02315,MOKLEP_08750
group_1617,,Methyl-accepting chemotaxis protein (MCP) signalling domain-containing protein,0_refound_3163_stop,1_refound_7261_stop,2_refound_11562_stop,3_refound_15638_stop,4_refound_19626,5_refound_23911_stop,6_refound_28078_stop,CJMOAC_13635,8_refound_36158_stop,KLDNLM_25965,10_refound_44484,11_refound_48723,12_refound_53067_stop,FNPKGJ_18785,14_refound_61254,OGPOLJ_19750,16_refound_68297_stop
group_1613,,trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase,AEKEPN_02275,HMDFDK_13365,DGIGOC_15650,OELDID_15880,NDFCFG_27620,NFOGGK_03425,DILMCD_01255,CJMOAC_22905,GGGPIC_03165,KLDNLM_03930,KAGCPN_03565,NDMAAC_03560,CELEIN_02275,FNPKGJ_02560,OFJEOJ_27830,OGPOLJ_02320,16_refound_68299_stop
group_1610,,Methyl-accepting chemotaxis protein (MCP) signalling domain-containing protein,0_refound_3164,1_refound_7262_stop,2_refound_11563,3_refound_15639_stop,4_refound_19627_stop,5_refound_23912_stop,DILMCD_25690,CJMOAC_30165,8_refound_36159_stop,9_refound_40318_stop,10_refound_44485,11_refound_48724,CELEIN_07520,FNPKGJ_22845,14_refound_61255,OGPOLJ_22710,16_refound_68298_stop
group_1609,,Methyl-accepting chemotaxis protein (MCP) signalling domain-containing protein,0_refound_3162,1_refound_7260_stop,DGIGOC_09510,OELDID_22020,4_refound_19625_stop,NFOGGK_09565,DILMCD_26280,CJMOAC_30000,8_refound_36157,9_refound_40317_stop,KAGCPN_25240,NDMAAC_25250,CELEIN_25165,13_refound_57142_stop,OFJEOJ_21730,OGPOLJ_16700,16_refound_68296_stop
